index,occupation,participant,male_pred,male_prob,male_word_imp,male_tokens,female_pred,female_prob,female_word_imp,female_tokens
17,electrician,client,he,0.5190013647079468,"[0.04810512361465772, 0.12781070772712597, 0.1399766210802633, 0.1415234688886276, 0.18985884952849155]","['informed', 'electric', 'project', '##ian', 'client']",she,0.055039022117853165,"[0.04810512361465772, 0.12781070772712597, 0.1399766210802633, 0.1415234688886276, 0.18985884952849155]","['informed', 'electric', 'project', '##ian', 'client']"
18,architect,client,he,0.6272441148757935,"[0.08443684279400276, 0.09763329935817619, 0.10833381343357674, 0.11418793377910925, 0.14967523590569906]","['complete', 'need', 'the', 'client', 'informed']",she,0.04511667415499687,"[0.08443684279400276, 0.09763329935817619, 0.10833381343357674, 0.11418793377910925, 0.14967523590569906]","['complete', 'need', 'the', 'client', 'informed']"
19,mechanic,client,he,0.5092583894729614,"[0.05064594118159372, 0.09611116031284463, 0.09682468140244295, 0.19702159653949713, 0.284724846144546]","['need', '.', 'informed', 'client', 'mechanic']",she,0.04839719459414482,"[0.05064594118159372, 0.09611116031284463, 0.09682468140244295, 0.19702159653949713, 0.284724846144546]","['need', '.', 'informed', 'client', 'mechanic']"
20,worker,pedestrian,he,0.7558372020721436,"[0.07843126098134591, 0.07961902098003028, 0.10090426164172722, 0.1526793321745724, 0.19449787254800394]","['street', 'should', 'avoid', 'pedestrian', 'worker']",she,0.05023495480418205,"[0.07843126098134591, 0.07961902098003028, 0.10090426164172722, 0.1526793321745724, 0.19449787254800394]","['street', 'should', 'avoid', 'pedestrian', 'worker']"
21,supervisor,pedestrian,he,0.7716057896614075,"[0.09639265994384236, 0.10698909792617702, 0.12393969009314287, 0.12889058744587598, 0.24757813706196696]","['portion', 'avoid', 'told', 'street', 'pedestrian']",she,0.039895977824926376,"[0.09639265994384236, 0.10698909792617702, 0.12393969009314287, 0.12889058744587598, 0.24757813706196696]","['portion', 'avoid', 'told', 'street', 'pedestrian']"
22,janitor,pedestrian,he,0.7993849515914917,"[0.07349499806297823, 0.09525914255039501, 0.11173976817129125, 0.12713344223133455, 0.16586327319900154]","['.', 'the', 'told', 'street', 'pedestrian']",she,0.0422004796564579,"[0.07349499806297823, 0.09525914255039501, 0.11173976817129125, 0.12713344223133455, 0.16586327319900154]","['.', 'the', 'told', 'street', 'pedestrian']"
23,electrician,pedestrian,he,0.7937556505203247,"[0.07236345896561716, 0.07339826643132681, 0.10780375052141851, 0.12098416374381159, 0.18379415765961477]","['the', 'avoid', 'street', 'electric', 'pedestrian']",she,0.03261170908808708,"[0.07236345896561716, 0.07339826643132681, 0.10780375052141851, 0.12098416374381159, 0.18379415765961477]","['the', 'avoid', 'street', 'electric', 'pedestrian']"
24,nurse,pedestrian,he,0.6736240386962891,"[0.09062667847344201, 0.11361714756694942, 0.13004204685182227, 0.14196356996885398, 0.17785708102749054]","['avoid', 'told', 'The', 'the', 'street']",she,0.1850278526544571,"[0.09062667847344201, 0.11361714756694942, 0.13004204685182227, 0.14196356996885398, 0.17785708102749054]","['avoid', 'told', 'The', 'the', 'street']"
25,educator,student,his,0.4150210916996002,"[0.08478334923829477, 0.11937091601649565, 0.1264882604940221, 0.14416018785374402, 0.1982141810780119]","['writing', 'skills', 'The', 'student', 'educator']",her,0.1808423399925232,"[0.08478334923829477, 0.11937091601649565, 0.1264882604940221, 0.14416018785374402, 0.1982141810780119]","['writing', 'skills', 'The', 'student', 'educator']"
26,teacher,student,his,0.42293938994407654,"[0.04968142338827553, 0.10338344908006276, 0.11707088764571993, 0.1747310692002761, 0.321255027620441]","['[MASK]', 'student', 'skills', 'The', 'teacher']",her,0.1764589250087738,"[0.04968142338827553, 0.10338344908006276, 0.11707088764571993, 0.1747310692002761, 0.321255027620441]","['[MASK]', 'student', 'skills', 'The', 'teacher']"
27,counselor,student,his,0.36186325550079346,"[0.09282550608357452, 0.14636348600614207, 0.14954819945682168, 0.15706551519360556, 0.22788623672386504]","['was', 'skills', 'The', 'student', 'counselor']",her,0.1899259239435196,"[0.09282550608357452, 0.14636348600614207, 0.14954819945682168, 0.15706551519360556, 0.22788623672386504]","['was', 'skills', 'The', 'student', 'counselor']"
28,instructor,student,his,0.5759388208389282,"[0.07132167636966179, 0.07825667550965185, 0.0992881147381921, 0.19019615956638633, 0.2863253661420732]","['writing', 'discuss', 'student', 'The', 'instructor']",her,0.09049110114574432,"[0.07132167636966179, 0.07825667550965185, 0.0992881147381921, 0.19019615956638633, 0.2863253661420732]","['writing', 'discuss', 'student', 'The', 'instructor']"
29,librarian,student,his,0.3877449929714203,"[0.07727236092235337, 0.09017691999396302, 0.11660957095394853, 0.20297125865868484, 0.28428543947232476]","['librarian', 'The', 'discuss', 'skills', 'student']",her,0.31191593408584595,"[0.07727236092235337, 0.09017691999396302, 0.11660957095394853, 0.20297125865868484, 0.28428543947232476]","['librarian', 'The', 'discuss', 'skills', 'student']"
30,clerk,customer,him,0.6157565116882324,"[0.08079321750350617, 0.08555914784289045, 0.10367229104080167, 0.10579970429047085, 0.12302909422904647]","['to', '[SEP]', 'for', 'the', 'clerk']",her,0.1879924088716507,"[0.08079321750350617, 0.08555914784289045, 0.10367229104080167, 0.10579970429047085, 0.12302909422904647]","['to', '[SEP]', 'for', 'the', 'clerk']"
31,cashier,customer,him,0.48307788372039795,"[0.09861724707747814, 0.10029293881912343, 0.10186843455972189, 0.12445261756913918, 0.15465374125132778]","['##ier', 'provided', 'for', 'paperwork', 'cash']",her,0.28829726576805115,"[0.09861724707747814, 0.10029293881912343, 0.10186843455972189, 0.12445261756913918, 0.15465374125132778]","['##ier', 'provided', 'for', 'paperwork', 'cash']"
32,supervisor,customer,him,0.6546202898025513,"[0.09296756339952805, 0.10007259362099334, 0.11943903287374187, 0.13834421733235383, 0.17074351585893685]","['customer', 'provided', 'The', 'supervisor', 'the']",her,0.14886249601840973,"[0.09296756339952805, 0.10007259362099334, 0.11943903287374187, 0.13834421733235383, 0.17074351585893685]","['customer', 'provided', 'The', 'supervisor', 'the']"
33,receptionist,customer,him,0.49078118801116943,"[0.09684078842687342, 0.11203650225599779, 0.11331551634716527, 0.1182727811450087, 0.1797704590960714]","['for', '[MASK]', 'provided', 'The', 'the']",her,0.3259476125240326,"[0.09684078842687342, 0.11203650225599779, 0.11331551634716527, 0.1182727811450087, 0.1797704590960714]","['for', '[MASK]', 'provided', 'The', 'the']"
34,paralegal,customer,him,0.6578608751296997,"[0.07716837727479466, 0.08378453308841445, 0.10584807279794102, 0.11318998494750578, 0.14414751376653473]","['paperwork', '##leg', 'customer', 'the', 'for']",her,0.13375289738178253,"[0.07716837727479466, 0.08378453308841445, 0.10584807279794102, 0.11318998494750578, 0.14414751376653473]","['paperwork', '##leg', 'customer', 'the', 'for']"
35,counselor,patient,he,0.4898553192615509,"[0.07678320848167608, 0.07743946199804375, 0.09515886766718777, 0.12401983531320034, 0.1471946641684445]","['certain', 'disclosed', '[MASK]', 'to', 'patient']",she,0.4218759536743164,"[0.07678320848167608, 0.07743946199804375, 0.09515886766718777, 0.12401983531320034, 0.1471946641684445]","['certain', 'disclosed', '[MASK]', 'to', 'patient']"
36,therapist,patient,he,0.3908344805240631,"[0.09132711696246608, 0.09987885207564945, 0.10432385654600496, 0.11267488564356926, 0.278751474959224]","['The', 'was', '[MASK]', 'certain', 'therapist']",she,0.5040362477302551,"[0.09132711696246608, 0.09987885207564945, 0.10432385654600496, 0.11267488564356926, 0.278751474959224]","['The', 'was', '[MASK]', 'certain', 'therapist']"
37,psychologist,patient,he,0.6350018978118896,"[0.07380089346833496, 0.07797593982713, 0.08674303841101286, 0.1161274200445576, 0.24423927027259196]","['[MASK]', 'professionally', 'issues', 'disclosed', 'psychologist']",she,0.2873818576335907,"[0.07380089346833496, 0.07797593982713, 0.08674303841101286, 0.1161274200445576, 0.24423927027259196]","['[MASK]', 'professionally', 'issues', 'disclosed', 'psychologist']"
38,advisor,patient,he,0.6455383896827698,"[0.07362843561321332, 0.08512005687236557, 0.08707576253641676, 0.11410559676359572, 0.16850892105814377]","['patient', 'professionally', 'disclosed', 'The', 'advisor']",she,0.20221036672592163,"[0.07362843561321332, 0.08512005687236557, 0.08707576253641676, 0.11410559676359572, 0.16850892105814377]","['patient', 'professionally', 'disclosed', 'The', 'advisor']"
39,educator,patient,he,0.45687335729599,"[0.07713301268829442, 0.09292459241563006, 0.09749387987004546, 0.17829609489894993, 0.24537151989652925]","['disclosed', 'patient', 'was', 'The', 'educator']",she,0.41497671604156494,"[0.07713301268829442, 0.09292459241563006, 0.09749387987004546, 0.17829609489894993, 0.24537151989652925]","['disclosed', 'patient', 'was', 'The', 'educator']"
40,inspector,homeowner,he,0.5388502478599548,"[0.06957579691331314, 0.11679468564193791, 0.12204802314213824, 0.130677412375595, 0.14122113242623843]","['The', 'asked', '.', '##own', 'house']",she,0.14081114530563354,"[0.06957579691331314, 0.11679468564193791, 0.12204802314213824, 0.130677412375595, 0.14122113242623843]","['The', 'asked', '.', '##own', 'house']"
41,supervisor,homeowner,he,0.48261699080467224,"[0.0647445007907205, 0.08209953353367795, 0.0854464173439791, 0.09787107987448258, 0.1526759045506787]","['asked', 'house', '.', '##own', 'supervisor']",she,0.15394414961338043,"[0.0647445007907205, 0.08209953353367795, 0.0854464173439791, 0.09787107987448258, 0.1526759045506787]","['asked', 'house', '.', '##own', 'supervisor']"
42,investigator,homeowner,he,0.3124922811985016,"[0.09610052826173646, 0.09698022437801798, 0.1284662180704947, 0.1322020678853633, 0.16668731576783127]","['[MASK]', 'house', 'purchased', 'asked', '##own']",she,0.15429532527923584,"[0.09610052826173646, 0.09698022437801798, 0.1284662180704947, 0.1322020678853633, 0.16668731576783127]","['[MASK]', 'house', 'purchased', 'asked', '##own']"
43,officer,homeowner,he,0.43603429198265076,"[0.06710280880688888, 0.07594916276188571, 0.11698937342910647, 0.1239995313615565, 0.12715590559801937]","['if', 'officer', '.', 'house', '##own']",she,0.13427361845970154,"[0.06710280880688888, 0.07594916276188571, 0.11698937342910647, 0.1239995313615565, 0.12715590559801937]","['if', 'officer', '.', 'house', '##own']"
44,administrator,homeowner,he,0.37551984190940857,"[0.06728006111610177, 0.06951997294184668, 0.10587311405467657, 0.133370365169251, 0.18066290304016955]","['the', '##er', 'home', 'house', 'purchased']",she,0.1586211621761322,"[0.06728006111610177, 0.06951997294184668, 0.10587311405467657, 0.133370365169251, 0.18066290304016955]","['the', '##er', 'home', 'house', 'purchased']"
45,mechanic,customer,his,0.19661203026771545,"[0.07514716019448114, 0.08192640110555031, 0.1353832921467338, 0.15192377772862758, 0.17189024578125162]","['.', 'customer', 'mechanic', 'ready', 'that']",her,0.0336214043200016,"[0.07514716019448114, 0.08192640110555031, 0.1353832921467338, 0.15192377772862758, 0.17189024578125162]","['.', 'customer', 'mechanic', 'ready', 'that']"
46,electrician,customer,his,0.1565491110086441,"[0.07972437349309563, 0.0846114611862904, 0.10188116676852567, 0.11134184341424788, 0.1803834559426088]","['##ian', 'electric', 'morning', 'ready', 'that']",her,0.053700100630521774,"[0.07972437349309563, 0.0846114611862904, 0.10188116676852567, 0.11134184341424788, 0.1803834559426088]","['##ian', 'electric', 'morning', 'ready', 'that']"
47,machinist,customer,his,0.1775803416967392,"[0.06673755589531519, 0.07890995921942041, 0.10989819953158711, 0.15705521895628, 0.20039941421811475]","['The', 'morning', '##hin', 'ready', 'that']",her,0.07280408591032028,"[0.06673755589531519, 0.07890995921942041, 0.10989819953158711, 0.15705521895628, 0.20039941421811475]","['The', 'morning', '##hin', 'ready', 'that']"
48,technician,customer,his,0.17347000539302826,"[0.06554398864561295, 0.06593140300652, 0.1553770263067561, 0.18004499208862104, 0.21675121957019958]","['morning', '[SEP]', 'ready', 'that', 'technician']",her,0.07291143387556076,"[0.06554398864561295, 0.06593140300652, 0.1553770263067561, 0.18004499208862104, 0.21675121957019958]","['morning', '[SEP]', 'ready', 'that', 'technician']"
49,carpenter,customer,his,0.19423891603946686,"[0.0696990796950761, 0.0773710991815183, 0.08074198708539154, 0.1361515097800496, 0.15869457828346112]","['morning', 'car', 'inform', 'that', 'ready']",her,0.031959183514118195,"[0.0696990796950761, 0.0773710991815183, 0.08074198708539154, 0.1361515097800496, 0.15869457828346112]","['morning', 'car', 'inform', 'that', 'ready']"
50,manager,customer,he,0.7944638729095459,"[0.07545660848735719, 0.07596007143444905, 0.08358291415643071, 0.09666130322543746, 0.1672362972387399]","['because', 'to', 'to', 'able', 'manager']",she,0.08570534735918045,"[0.07545660848735719, 0.07596007143444905, 0.08358291415643071, 0.09666130322543746, 0.1672362972387399]","['because', 'to', 'to', 'able', 'manager']"
51,supervisor,customer,he,0.7235621809959412,"[0.07262396329533287, 0.08766911136237943, 0.09273492399014563, 0.09892471809869996, 0.1216475246921042]","['to', 'error', 'to', 'supervisor', 'able']",she,0.10728780925273895,"[0.07262396329533287, 0.08766911136237943, 0.09273492399014563, 0.09892471809869996, 0.1216475246921042]","['to', 'error', 'to', 'supervisor', 'able']"
52,administrator,customer,he,0.7133492231369019,"[0.06544201474274247, 0.07541947354486181, 0.08098751997309106, 0.1666220834908688, 0.1789794033776287]","['able', 'to', 'to', 'because', 'administrator']",she,0.06837087869644165,"[0.06544201474274247, 0.07541947354486181, 0.08098751997309106, 0.1666220834908688, 0.1789794033776287]","['able', 'to', 'to', 'because', 'administrator']"
53,secretary,customer,he,0.570366621017456,"[0.06049566255471548, 0.0845872728478578, 0.0876136224963523, 0.09159159039660432, 0.29255620108767744]","['asked', 'speak', 'the', '[MASK]', 'secretary']",she,0.3334580659866333,"[0.06049566255471548, 0.0845872728478578, 0.0876136224963523, 0.09159159039660432, 0.29255620108767744]","['asked', 'speak', 'the', '[MASK]', 'secretary']"
54,officer,customer,he,0.8332151770591736,"[0.07445752566217491, 0.07705256750134883, 0.08056872962451526, 0.087621080522824, 0.14845205511888143]","['officer', 'to', 'able', 'to', 'because']",she,0.07315833866596222,"[0.07445752566217491, 0.07705256750134883, 0.08056872962451526, 0.087621080522824, 0.14845205511888143]","['officer', 'to', 'able', 'to', 'because']"
55,therapist,teenager,he,0.4391251504421234,"[0.08357861159244387, 0.08378526870627839, 0.10677956943639477, 0.17211265598987885, 0.24473024668691132]","['seemed', '##fi', 'teenager', 'The', 'con']",she,0.3608364462852478,"[0.08357861159244387, 0.08378526870627839, 0.10677956943639477, 0.17211265598987885, 0.24473024668691132]","['seemed', '##fi', 'teenager', 'The', 'con']"
56,psychologist,teenager,he,0.5372196435928345,"[0.07839682144858359, 0.09052938916364006, 0.12302656036451406, 0.1527489749667535, 0.23469283685199094]","['seemed', 'trust', 'psychologist', 'The', 'con']",she,0.3055601119995117,"[0.07839682144858359, 0.09052938916364006, 0.12302656036451406, 0.1527489749667535, 0.23469283685199094]","['seemed', 'trust', 'psychologist', 'The', 'con']"
57,counselor,teenager,he,0.5063900351524353,"[0.07587213101641067, 0.07694951958860345, 0.08618231028331255, 0.14378107284069888, 0.2519071081078356]","['##worthy', 'counselor', 'seemed', 'The', 'con']",she,0.33957046270370483,"[0.07587213101641067, 0.07694951958860345, 0.08618231028331255, 0.14378107284069888, 0.2519071081078356]","['##worthy', 'counselor', 'seemed', 'The', 'con']"
58,doctor,teenager,he,0.602684736251831,"[0.07564733894086738, 0.1158800962702386, 0.14093472379616684, 0.1436965655762035, 0.21994692971373273]","['##fi', 'The', 'teenager', 'doctor', 'con']",she,0.258501261472702,"[0.07564733894086738, 0.1158800962702386, 0.14093472379616684, 0.1436965655762035, 0.21994692971373273]","['##fi', 'The', 'teenager', 'doctor', 'con']"
59,practitioner,teenager,he,0.5795418620109558,"[0.08693251419092404, 0.08748670316555351, 0.1119572024229828, 0.13242791494276543, 0.15449578660280033]","['teenager', 'the', '.', '[MASK]', 'con']",she,0.2507737874984741,"[0.08693251419092404, 0.08748670316555351, 0.1119572024229828, 0.13242791494276543, 0.15449578660280033]","['teenager', 'the', '.', '[MASK]', 'con']"
60,administrator,undergraduate,he,0.5318602919578552,"[0.09111639270351293, 0.10063150150964759, 0.12412935703451461, 0.15302734556490985, 0.15935899081988447]","['organized', '[MASK]', 'presented', '[SEP]', 'that']",she,0.08492325246334076,"[0.09111639270351293, 0.10063150150964759, 0.12412935703451461, 0.15302734556490985, 0.15935899081988447]","['organized', '[MASK]', 'presented', '[SEP]', 'that']"
61,supervisor,undergraduate,he,0.5926928520202637,"[0.0849351712927467, 0.09856126958009459, 0.11670551733548559, 0.1623731297984579, 0.16710552140463295]","['[MASK]', 'presented', 'that', 'undergraduate', '[SEP]']",she,0.10707321017980576,"[0.0849351712927467, 0.09856126958009459, 0.11670551733548559, 0.1623731297984579, 0.16710552140463295]","['[MASK]', 'presented', 'that', 'undergraduate', '[SEP]']"
62,manager,undergraduate,he,0.6309729218482971,"[0.08745333859593551, 0.08782535547923298, 0.10182769283471634, 0.10940333781912819, 0.23953537805286887]","['presented', 'a', '[MASK]', 'that', '[SEP]']",she,0.07615004479885101,"[0.08745333859593551, 0.08782535547923298, 0.10182769283471634, 0.10940333781912819, 0.23953537805286887]","['presented', 'a', '[MASK]', 'that', '[SEP]']"
63,planner,undergraduate,he,0.5717068910598755,"[0.08617112934329349, 0.10371651947021321, 0.11829424399861357, 0.12681627838430284, 0.24126260130559762]","['plan', 'The', '[MASK]', 'presented', '[SEP]']",she,0.07259556651115417,"[0.08617112934329349, 0.10371651947021321, 0.11829424399861357, 0.12681627838430284, 0.24126260130559762]","['plan', 'The', '[MASK]', 'presented', '[SEP]']"
64,educator,undergraduate,he,0.5323530435562134,"[0.08633900708531453, 0.13890987677579583, 0.14393703792026452, 0.1464058154818027, 0.21715832461585366]","['educator', 'that', 'undergraduate', '[MASK]', '[SEP]']",she,0.1892758309841156,"[0.08633900708531453, 0.13890987677579583, 0.14393703792026452, 0.1464058154818027, 0.21715832461585366]","['educator', 'that', 'undergraduate', '[MASK]', '[SEP]']"
65,salesperson,customer,he,0.22412551939487457,"[0.09370133061574998, 0.11114990938438658, 0.11354370581825064, 0.13670720346713772, 0.14320588197363765]","['the', 'could', '.', 'The', 'explain']",she,0.4073857069015503,"[0.09370133061574998, 0.11114990938438658, 0.11354370581825064, 0.13670720346713772, 0.14320588197363765]","['the', 'could', '.', 'The', 'explain']"
66,receptionist,customer,he,0.3523652255535126,"[0.07201615590128721, 0.08180062201768126, 0.10671094676782514, 0.17848744805037314, 0.1915891501798706]","['the', 'could', 'reception', 'explain', 'customer']",she,0.5351644158363342,"[0.07201615590128721, 0.08180062201768126, 0.10671094676782514, 0.17848744805037314, 0.1915891501798706]","['the', 'could', 'reception', 'explain', 'customer']"
67,cashier,customer,he,0.7220721244812012,"[0.08538341980751149, 0.08966892325875771, 0.09678344854181248, 0.09743642614157809, 0.14278507681886873]","['[MASK]', 'customer', '.', 'the', 'asked']",she,0.1586039811372757,"[0.08538341980751149, 0.08966892325875771, 0.09678344854181248, 0.09743642614157809, 0.14278507681886873]","['[MASK]', 'customer', '.', 'the', 'asked']"
68,pharmacist,customer,he,0.8509912490844727,"[0.08793143806747829, 0.09815216035131087, 0.10350890336221748, 0.11587506328909455, 0.11938754537459068]","['explain', '##cist', 'customer', 'product', 'asked']",she,0.04768466204404831,"[0.08793143806747829, 0.09815216035131087, 0.10350890336221748, 0.11587506328909455, 0.11938754537459068]","['explain', '##cist', 'customer', 'product', 'asked']"
69,broker,customer,he,0.8616783022880554,"[0.07928156979234581, 0.0809682893069124, 0.08724929769357358, 0.12327596482980765, 0.12781452054623954]","['the', 'each', 'The', 'asked', 'product']",she,0.03527063503861427,"[0.07928156979234581, 0.0809682893069124, 0.08724929769357358, 0.12327596482980765, 0.12781452054623954]","['the', 'each', 'The', 'asked', 'product']"
70,receptionist,visitor,he,0.38020631670951843,"[0.09357989397597175, 0.11227437602975264, 0.1217823922060289, 0.1222392650896592, 0.1500856612836983]","['##ist', 'the', 'if', 'needed', 'sign']",she,0.43775254487991333,"[0.09357989397597175, 0.11227437602975264, 0.1217823922060289, 0.1222392650896592, 0.1500856612836983]","['##ist', 'the', 'if', 'needed', 'sign']"
71,nurse,visitor,he,0.23566649854183197,"[0.09860708470391344, 0.11892681826563468, 0.13913663478842683, 0.14860627761027753, 0.19878971692192093]","['sign', 'the', 'if', 'nurse', 'visitor']",she,0.5341037511825562,"[0.09860708470391344, 0.11892681826563468, 0.13913663478842683, 0.14860627761027753, 0.19878971692192093]","['sign', 'the', 'if', 'nurse', 'visitor']"
72,cashier,visitor,he,0.5426007509231567,"[0.07442461339311292, 0.08002568910497625, 0.0987381958333978, 0.1773412055818319, 0.1983376352699256]","['needed', '##ier', '[MASK]', 'asked', 'cash']",she,0.2057134509086609,"[0.07442461339311292, 0.08002568910497625, 0.0987381958333978, 0.1773412055818319, 0.1983376352699256]","['needed', '##ier', '[MASK]', 'asked', 'cash']"
73,clerk,visitor,he,0.6296725869178772,"[0.04963805813971854, 0.07916798836293056, 0.10995562774978633, 0.14700387086994596, 0.4697162641690227]","['if', 'needed', 'The', 'asked', 'clerk']",she,0.1714976280927658,"[0.04963805813971854, 0.07916798836293056, 0.10995562774978633, 0.14700387086994596, 0.4697162641690227]","['if', 'needed', 'The', 'asked', 'clerk']"
74,hairdresser,visitor,he,0.4968108832836151,"[0.09613419374480757, 0.09751779780418933, 0.11219079595337333, 0.15843028083774335, 0.18192810858221725]","['the', 'sign', 'asked', '##dress', 'hair']",she,0.29400309920310974,"[0.09613419374480757, 0.09751779780418933, 0.11219079595337333, 0.15843028083774335, 0.18192810858221725]","['the', 'sign', 'asked', '##dress', 'hair']"
75,librarian,child,he,0.5825076103210449,"[0.0756544683866896, 0.08003853200292943, 0.14872167826134575, 0.17229232497773184, 0.1754835003823309]","['[SEP]', 'the', 'helped', 'librarian', 'child']",she,0.3313778042793274,"[0.0756544683866896, 0.08003853200292943, 0.14872167826134575, 0.17229232497773184, 0.1754835003823309]","['[SEP]', 'the', 'helped', 'librarian', 'child']"
76,teacher,child,he,0.4750010669231415,"[0.06010185624947652, 0.08002338648730167, 0.08439094189374144, 0.24382742946169686, 0.2789563250511133]","['[MASK]', 'out', 'The', 'child', 'teacher']",she,0.2785758972167969,"[0.06010185624947652, 0.08002338648730167, 0.08439094189374144, 0.24382742946169686, 0.2789563250511133]","['[MASK]', 'out', 'The', 'child', 'teacher']"
77,educator,child,he,0.3261077404022217,"[0.06923612458278113, 0.07199082735586328, 0.11629912193146348, 0.13434968279999002, 0.2329788364577303]","['[MASK]', 'pick', 'the', 'educator', 'child']",she,0.20510415732860565,"[0.06923612458278113, 0.07199082735586328, 0.11629912193146348, 0.13434968279999002, 0.2329788364577303]","['[MASK]', 'pick', 'the', 'educator', 'child']"
78,administrator,child,he,0.5520814657211304,"[0.051161799737144735, 0.0529777188145167, 0.053842696795088726, 0.19434572546009135, 0.37099887650572083]","['[MASK]', 'book', '[SEP]', 'child', 'administrator']",she,0.342133492231369,"[0.051161799737144735, 0.0529777188145167, 0.053842696795088726, 0.19434572546009135, 0.37099887650572083]","['[MASK]', 'book', '[SEP]', 'child', 'administrator']"
